USER_INPUT,USER_PROFILE,CONTEXTUAL_DATA
"Had a terrible day at work, feeling completely overwhelmed with project deadlines. Just need something comforting to eat.","{""age"": 23, ""gender"": ""female"", ""location"": ""Bangalore"", ""budget_range"": ""150-400"", ""dietary_restrictions"": [""vegetarian""], ""preferred_cuisines"": [""North Indian"", ""South Indian"", ""Continental""], ""order_history"": [""Dal Makhani"", ""Paneer Butter Masala"", ""Chocolate Brownie"", ""Masala Dosa"", ""Filter Coffee""], ""frequent_orders"": [""Dal Makhani"", ""Filter Coffee""], ""recent_preferences"": [""Paneer Butter Masala"", ""Chocolate Brownie""], ""avoided_items"": [""Spicy food"", ""Heavy meat dishes""]}","{""time"": ""20:30"", ""day"": ""Tuesday"", ""weather"": ""Rainy"", ""temperature"": ""22\u00b0C"", ""location_type"": ""residential"", ""delivery_radius"": ""5km"", ""available_restaurants"": [""Punjabi Dhaba"", ""South Indian Corner"", ""Cafe Coffee Day""]}"
Just got promoted at work! Want to celebrate with something special and indulgent. Feeling amazing!,"{""age"": 27, ""gender"": ""male"", ""location"": ""Mumbai"", ""budget_range"": ""300-800"", ""dietary_restrictions"": [], ""preferred_cuisines"": [""North Indian"", ""Chinese"", ""Continental""], ""order_history"": [""Butter Chicken"", ""Biryani"", ""Prawns Koliwada"", ""Chocolate Lava Cake"", ""Chicken Tikka""], ""frequent_orders"": [""Butter Chicken"", ""Chicken Biryani""], ""recent_preferences"": [""Prawns Koliwada"", ""Chocolate Lava Cake""], ""avoided_items"": [""Salads"", ""Diet food""]}","{""time"": ""19:45"", ""day"": ""Friday"", ""weather"": ""Clear"", ""temperature"": ""28\u00b0C"", ""location_type"": ""office_area"", ""delivery_radius"": ""3km"", ""available_restaurants"": [""Punjabi By Nature"", ""Chinese Dragon"", ""The Chocolate Room""]}"
"Lazy Sunday afternoon, nothing interesting happening. Craving something to munch on while watching Netflix.","{""age"": 25, ""gender"": ""female"", ""location"": ""Delhi"", ""budget_range"": ""100-300"", ""dietary_restrictions"": [""no_beef""], ""preferred_cuisines"": [""Street Food"", ""Snacks"", ""North Indian""], ""order_history"": [""Chaat"", ""Samosa"", ""Pani Puri"", ""Bhel Puri"", ""Aloo Tikki"", ""Cold Coffee""], ""frequent_orders"": [""Chaat"", ""Samosa"", ""Pani Puri""], ""recent_preferences"": [""Bhel Puri"", ""Cold Coffee""], ""avoided_items"": [""Heavy meals"", ""Spicy curries""]}","{""time"": ""15:20"", ""day"": ""Sunday"", ""weather"": ""Sunny"", ""temperature"": ""32\u00b0C"", ""location_type"": ""residential"", ""delivery_radius"": ""4km"", ""available_restaurants"": [""Street Food Corner"", ""Haldiram's"", ""Chai Point""]}"
"Running late for office, need something quick and filling for breakfast. Pretty neutral mood today.","{""age"": 26, ""gender"": ""male"", ""location"": ""Hyderabad"", ""budget_range"": ""80-200"", ""dietary_restrictions"": [], ""preferred_cuisines"": [""South Indian"", ""North Indian"", ""Continental""], ""order_history"": [""Idli Sambhar"", ""Masala Dosa"", ""Poha"", ""Upma"", ""Filter Coffee"", ""Bread Omelet""], ""frequent_orders"": [""Idli Sambhar"", ""Masala Dosa"", ""Filter Coffee""], ""recent_preferences"": [""Poha"", ""Bread Omelet""], ""avoided_items"": [""Sweet breakfast items"", ""Heavy parathas""]}","{""time"": ""08:45"", ""day"": ""Wednesday"", ""weather"": ""Cloudy"", ""temperature"": ""26\u00b0C"", ""location_type"": ""office_area"", ""delivery_radius"": ""2km"", ""available_restaurants"": [""Udupi Restaurant"", ""Delhi Paratha House"", ""Cafe Coffee Day""]}"
"Can't sleep, feeling a bit anxious about tomorrow's presentation. Need some comfort food to calm down.","{""age"": 24, ""gender"": ""female"", ""location"": ""Pune"", ""budget_range"": ""200-500"", ""dietary_restrictions"": [""vegetarian"", ""no_onion_garlic""], ""preferred_cuisines"": [""North Indian"", ""Gujarati"", ""Continental""], ""order_history"": [""Dal Tadka"", ""Paneer Tikka"", ""Kulfi"", ""Masala Chai"", ""Vegetable Biryani""], ""frequent_orders"": [""Dal Tadka"", ""Masala Chai""], ""recent_preferences"": [""Paneer Tikka"", ""Kulfi""], ""avoided_items"": [""Spicy food"", ""Non-vegetarian"", ""Junk food""]}","{""time"": ""23:15"", ""day"": ""Thursday"", ""weather"": ""Cool"", ""temperature"": ""18\u00b0C"", ""location_type"": ""residential"", ""delivery_radius"": ""6km"", ""available_restaurants"": [""Pure Veg Kitchen"", ""Gujarati Thali House"", ""Chai Tapri""]}"
"Short lunch break, need something professional and quick. Having a pretty good day so far.","{""age"": 28, ""gender"": ""male"", ""location"": ""Chennai"", ""budget_range"": ""180-350"", ""dietary_restrictions"": [], ""preferred_cuisines"": [""South Indian"", ""North Indian"", ""Chinese""], ""order_history"": [""Chicken Biryani"", ""Sambar Rice"", ""Chicken 65"", ""Fried Rice"", ""Rasam"", ""Curd Rice""], ""frequent_orders"": [""Chicken Biryani"", ""Sambar Rice"", ""Rasam""], ""recent_preferences"": [""Chicken 65"", ""Fried Rice""], ""avoided_items"": [""Very spicy food"", ""Heavy gravies""]}","{""time"": ""13:20"", ""day"": ""Monday"", ""weather"": ""Hot"", ""temperature"": ""35\u00b0C"", ""location_type"": ""office_area"", ""delivery_radius"": ""1.5km"", ""available_restaurants"": [""Saravana Bhavan"", ""Dindigul Thalappakatti"", ""Golden Dragon""]}"
"Feeling nostalgic and a bit homesick. This cold weather makes me want some warm, homestyle food.","{""age"": 22, ""gender"": ""female"", ""location"": ""Kolkata"", ""budget_range"": ""120-280"", ""dietary_restrictions"": [""no_pork""], ""preferred_cuisines"": [""Bengali"", ""North Indian"", ""Chinese""], ""order_history"": [""Fish Curry"", ""Rice"", ""Mishti Doi"", ""Roshogolla"", ""Chicken Kosha"", ""Luchi""], ""frequent_orders"": [""Fish Curry"", ""Rice"", ""Mishti Doi""], ""recent_preferences"": [""Chicken Kosha"", ""Roshogolla""], ""avoided_items"": [""Very spicy food"", ""Continental dishes""]}","{""time"": ""19:00"", ""day"": ""Saturday"", ""weather"": ""Cold"", ""temperature"": ""12\u00b0C"", ""location_type"": ""residential"", ""delivery_radius"": ""4km"", ""available_restaurants"": [""Bhojohori Manna"", ""6 Ballygunge Place"", ""Mainland China""]}"
This heat is unbearable! Need something really cold and refreshing. Feeling pretty upbeat despite the weather.,"{""age"": 26, ""gender"": ""male"", ""location"": ""Jaipur"", ""budget_range"": ""100-400"", ""dietary_restrictions"": [""lactose_intolerant""], ""preferred_cuisines"": [""Rajasthani"", ""North Indian"", ""Street Food""], ""order_history"": [""Dal Baati Churma"", ""Gatte ki Sabzi"", ""Kulfi"", ""Lassi"", ""Kachori"", ""Coconut Water""], ""frequent_orders"": [""Dal Baati Churma"", ""Kachori""], ""recent_preferences"": [""Kulfi"", ""Coconut Water""], ""avoided_items"": [""Hot food"", ""Dairy products"", ""Heavy meals""]}","{""time"": ""16:30"", ""day"": ""Saturday"", ""weather"": ""Very Hot"", ""temperature"": ""42\u00b0C"", ""location_type"": ""commercial_area"", ""delivery_radius"": ""3km"", ""available_restaurants"": [""Rajasthani Dhaba"", ""Kulfi Corner"", ""Fresh Juice Center""]}"
Starting the week fresh! Want something healthy but tasty to fuel my productive day ahead.,"{""age"": 29, ""gender"": ""female"", ""location"": ""Gurgaon"", ""budget_range"": ""200-600"", ""dietary_restrictions"": [""gluten_free""], ""preferred_cuisines"": [""Continental"", ""Healthy"", ""Mediterranean""], ""order_history"": [""Quinoa Salad"", ""Grilled Chicken"", ""Smoothie Bowl"", ""Avocado Toast"", ""Greek Yogurt""], ""frequent_orders"": [""Quinoa Salad"", ""Smoothie Bowl""], ""recent_preferences"": [""Grilled Chicken"", ""Greek Yogurt""], ""avoided_items"": [""Fried food"", ""Wheat products"", ""Heavy carbs""]}","{""time"": ""12:00"", ""day"": ""Monday"", ""weather"": ""Pleasant"", ""temperature"": ""25\u00b0C"", ""location_type"": ""office_area"", ""delivery_radius"": ""2km"", ""available_restaurants"": [""Healthy Bytes"", ""The Salad Story"", ""Lean Kitchen""]}"
Friends coming over for evening hangout! Need some finger foods and snacks for sharing. Excited about the get-together!,"{""age"": 25, ""gender"": ""male"", ""location"": ""Ahmedabad"", ""budget_range"": ""400-1000"", ""dietary_restrictions"": [""vegetarian""], ""preferred_cuisines"": [""Gujarati"", ""North Indian"", ""Chinese"", ""Continental""], ""order_history"": [""Dhokla"", ""Khandvi"", ""Manchurian"", ""Pizza"", ""Garlic Bread"", ""Masala Papad""], ""frequent_orders"": [""Dhokla"", ""Khandvi"", ""Manchurian""], ""recent_preferences"": [""Pizza"", ""Garlic Bread""], ""avoided_items"": [""Non-vegetarian"", ""Very spicy food""]}","{""time"": ""17:45"", ""day"": ""Friday"", ""weather"": ""Clear"", ""temperature"": ""30\u00b0C"", ""location_type"": ""residential"", ""delivery_radius"": ""5km"", ""available_restaurants"": [""Gujarati Snacks Corner"", ""Pizza Hut"", ""Chinese Dragon""]}"
